iter	Accuracy	Logloss
0	0.9679102687	0.3789809169
1	0.968450096	0.242575267
2	0.9686900192	0.1821693611
3	0.9688699616	0.1553913672
4	0.9689899232	0.1416235573
5	0.9693498081	0.1336221778
6	0.9693498081	0.1289019847
7	0.9695897313	0.1259453819
8	0.9695297505	0.1237906294
9	0.9697096929	0.122188135
10	0.9701295585	0.1211526674
11	0.9701895393	0.1201665527
12	0.9703694818	0.119503097
13	0.9705494242	0.1188041649
14	0.9707293666	0.1181790426
15	0.970609405	0.1173949724
16	0.9706693858	0.1169160961
17	0.9707893474	0.1163059063
18	0.970909309	0.1156614285
19	0.9709692898	0.1153858965
20	0.970909309	0.1150601776
21	0.9710292706	0.1148368981
22	0.9711492322	0.1141568298
23	0.9712092131	0.1138638538
24	0.9712691939	0.1132683159
25	0.9715690979	0.1123151927
26	0.9716290787	0.1119388644
27	0.9716290787	0.1114812389
28	0.9716890595	0.1107024816
29	0.9716290787	0.1099397212
30	0.9716890595	0.108914007
31	0.9717490403	0.1085300236
32	0.9718090211	0.1077552088
33	0.9719289827	0.1069658963
34	0.9719289827	0.1067981228
35	0.9719889635	0.1067788305
36	0.9720489443	0.1065966628
37	0.9721089251	0.1062596391
38	0.9722288868	0.1055903786
39	0.9722888676	0.1043327596
40	0.9722888676	0.1041931061
41	0.9723488484	0.1035062738
42	0.9723488484	0.1028007698
43	0.97246881	0.1025372035
44	0.9724088292	0.1023295285
45	0.97246881	0.1019400533
46	0.9725887716	0.101672551
47	0.9727087332	0.1010367224
48	0.9726487524	0.1008762606
49	0.9725887716	0.1006506075
50	0.9726487524	0.1003345729
51	0.9728286948	0.1000634351
52	0.9728286948	0.099478535
53	0.9729486564	0.09899190438
54	0.9728886756	0.09816902757
55	0.9729486564	0.09796188518
56	0.9730086372	0.09768381464
57	0.973068618	0.09737087214
58	0.973068618	0.09711609796
59	0.9731285988	0.09667209415
60	0.9731285988	0.09574154772
61	0.9731285988	0.09534053367
62	0.9731285988	0.09481655839
