iter	Passed	Remaining
0	3	4477
1	7	4294
2	13	5171
3	17	5006
4	21	4814
5	24	4666
6	30	5052
7	34	4923
8	38	4818
9	41	4718
10	48	4993
11	52	4955
12	55	4857
13	58	4784
14	64	4911
15	68	4855
16	71	4788
17	75	4723
18	82	4934
19	86	4882
20	89	4822
21	94	4865
22	102	4999
23	114	5353
24	118	5317
25	121	5259
26	128	5349
27	134	5370
28	139	5378
29	146	5456
30	149	5397
31	152	5342
32	156	5284
33	161	5314
34	165	5272
35	168	5229
36	177	5351
37	181	5317
38	185	5278
39	192	5354
40	198	5379
41	202	5337
42	209	5388
43	212	5351
44	216	5310
45	219	5270
46	226	5322
47	230	5284
48	233	5250
49	241	5308
50	245	5287
51	248	5251
52	252	5218
53	259	5261
54	262	5234
55	266	5203
56	273	5242
57	277	5231
58	281	5202
59	287	5218
60	293	5237
61	296	5208
62	300	5181
63	308	5238
64	312	5213
65	316	5190
66	324	5241
